letra,descripcion,cantidad,voltaje,medidas,equipo,img
ASX 9,LUCAS INDIEL- AN115-BEDFORD-M.BENZ PERKINS,4,24,"9x20x24,5",LUCAS - PRESTOLITE - INDIEL,ASX9
ASX 7,PERKINS- JOHN DEERE,4,12,9X20X26,LUCAS - PRESTOLITE - INDIEL,default-card-2
ASX 11,LUCAS INDIEL- AN115-BEDFORD-M.BENZ PERKINS,4,12,9x20x26,LUCAS - PRESTOLITE - INDIEL,ASX11
ASX 11E,LUCAS INDIEL- AN115-ESPECIAL ORIGINAL,4,12,9x20x26,LUCAS - PRESTOLITE - INDIEL,ASX11E
ASX 21,MAXION-FORD CUMMINS M-100,4,12,8X25X20,LUCAS - PRESTOLITE - INDIEL,ASX21
EX 016/56,LUCAS INDIEL-VALIANT-CHEVROLET-D100-D40-FORD,4,12,8.8X19.05X13,LUCAS - PRESTOLITE - INDIEL,EX16-56
EX 016/56D,RASTROJERO-PEUGEOT DIESEL,4,12,8.8X19.05X13,LUCAS - PRESTOLITE - INDIEL,default-card-2
FX 5-6,LUCAS - FORD,4,12,"8,8 X 19,2 X 12,5",LUCAS - PRESTOLITE - INDIEL,default-card-2
FX 34,LUCAS - FALCON - CHEVROLET 400,4,12,"8,8 X 19,2 X 12,5",LUCAS - PRESTOLITE - INDIEL,default-card-2
FX 40,LUCAS FORD RANGER,4,12,"8,8 X 19,2 X 13",LUCAS - PRESTOLITE - INDIEL,default-card-2
LASX 43 46,IKA-TORINO,4,12,10.3/4.7x13.3x17.5,LUCAS - PRESTOLITE - INDIEL,LASX43-46
LASX40-41A,INDIEL-RENAULT 11-TRAFIC G.IZQUIERDO,4,12,"9,5/3,5x11.6x15.9",LUCAS - PRESTOLITE - INDIEL,LASX40-41
LASX 43,FIAT-TORINO S/TERMINAL M100 FRONTAL-FORD,4,12,"10,3/4,7X13,3X17,5",LUCAS - PRESTOLITE - INDIEL,LASX43
LASX 43-48,FORD FRONTAL NUEVO,4,12,10.3/4.7x13.3x17.5,LUCAS - PRESTOLITE - INDIEL,LASX43-48
LASX 43-44,FORD FRONTAL CON TERMINAL,4,12,10.3/4.7x13.3x17.5,LUCAS - PRESTOLITE - INDIEL,LASX43-44D
LASX 36,LUCAS M50,4,12,"9x20x24,5",LUCAS - PRESTOLITE - INDIEL,LASX36
LASX 40-41,INDIEL-RENAULT 11-TRAFIC-FORD SIERRA,4,12,"9,5/3,5x11.6x15.9",LUCAS - PRESTOLITE - INDIEL,LASX40-41
LASX 91-92,FORD F100-F150-F1000-F4000 C/MOTOR MWM LUCAS PERKINS-M.BENZ,4,12,"9x20x24,5",WAPSA-INDIEL,LASX91-92
213/13,FORD MWM BRASILERO,4,12,8.8X19.05X22,WAPSA-INDIEL,21313
213/09,WAPSA-AGRALE,4,12,8.8X19.05X13,WAPSA-INDIEL,default-card-2
BSX 75,ESCORT1.6-1.8-RENAEULT 9-FIAT 147-QUANTUM-GOL,4,12,7X10X18,BOSCH,BSX75
BSX433-729,MERCEDES BENZ BRASILERO,4,12*24,"10x22,2x23,5",BOSCH,BSX433-729
BSX 6-7,MERCEDES BENZ BRASILERO 2 CABLES,4,12,"10x22,2x23,5",BOSCH,BSX6-7
USX 21-22,"RENAULT 9,12 Y 18-PEUGEOT-CITROEN-FIAT 128-GAREF",2,12,8x15x15,INDIEL-GAREF-DUCELLIER,USX21-22
USX21-22C/T,"RENAULT 9,12 Y 18-PEUGEOT-CITROEN-FIAT 128-GAREF",2,12,8x15x15,INDIEL-GAREF-DUCELLIER,USX21-22CT
USX 59 60,FIAT-PEUGEOT-DODGE 1500,2,12,8X15X15,CHRYSLER-TRIA,default-card-2
USX 60-21,VW CARAT-ESCORT-TRIA,4,12,8x15x15,CHRYSLER-TRIA,USX60-21
MAX 341,ESCOBILLA DE ARRANQUE FIAT DUCATO,4,12,"8,2x19x18",CHRYSLER-TRIA,MASX341
JSX 31-32,CHEVROLET D 20 MAXIOM,4,12,"8,2x19x18",CHRYSLER-TRIA,JSX31-32
3 STAR,CAMIONES CHINOS,4,12,8.8X19.05X13,CHRYSLER-TRIA,default-card-2
JSX 29-30,FIAT -LANCIA Y-10 -SEAT S1-S3 -OTROS,2,12,6 X 13 X 17,FIAT - MARELLI,default-card-2
JSX 147D,UNO -DUNA DIESEL CON REDUCCION FIAT 147 DIESEL,4,12,6 X 13 X 17,FIAT - MARELLI,default-card-2
JSX 35-36,ESCOBILLA DE ARRANQUE FIAT / RENAULT PALIO,4,12,7 x 13 x 17.5,FIAT - MARELLI,JSX35-36
JSX 35-36(3),EQUIPO MAGNETTI MARELLI - EQUIPO LINPLATAFIAT,3,12,7 x 13 x 17.5,FIAT - MARELLI,default-card-2
JSX 35-36E,FLEXIBLE 60 MM.,4,12,7 x 13 x 17.5,FIAT - MARELLI,default-card-2
JSX 35-37,EQUIPO MAGNETTI MARELLI - FIAT PALIO SIENA,4,12,7 x 13 x 17.5,FIAT - MARELLI,default-card-2
JSX 21-22,PEUGEOT 306 - FIAT 147 DIESEL - VW PASAT - POLO - ALFA ROMEO,4,12,6 X 13 X 17,FIAT - MARELLI,default-card-2
PSX 140-141,ESCOBILLA DE ARRANQUE RENAULT TRAFIC,4,12,9 X 18 X 22,PARIS RHONE - VALEO,PSX140-141
FNSX 6-7,TOYOTA DIESEL MT 28-MT 29-SCANIA P93-NISSAN-YANMAR-ISUZU-DATSUN.,4,24,8 X 25 X 19,DELCO - REMY,FNSX6-7
DX 157 S/T,DELCO REMY 29 MT,4,12,8 X 25 X 20,DELCO - REMY,default-card-2
DX 419-420,DELCO REMY MOTOR TIPO 28 MT - M.BENZ 1115 - MOTOR ELECTRONICO - (PLAQUETA PE 134),4,24,8 X 25 X 21,DELCO - REMY,default-card-2
DX 157-158,DELCO REMY MOTOR TIPO 28 MT (PLAQUETA PE 133),4,12,8 X 25 X 20,DELCO - REMY,default-card-2